ANOENC,CPRO,ZONAUR,NMIEMB,NMIEM3,NMIEM4,NMIEM7,UC1,UC2,TIPHOGAR_9,TIPHOGAR_10,TIPHOGAR_11,NUMACTI,NUMOCUP,NUMESTU,SITUOCU_HOG,SITUACT_HOG,SEXOSP,NACIONASP,ECIVILSP,UNIONSP,ESTUDIOS_SP,SITUACT_SP,JORNADASP,IMPEXACPSP,INTERINPSP,SITPROF,SECTOR,TIPOCONT,SITSOCI,SITSOCI_RE,REGTEN,TIPOEDIF,ZONARES,TIPOCASA,NHABIT,ANNOCON,SUPERF,AGUACALI,FUENAGUA,CALEF,FUENCALE,PAGAGC,GC_AGUAFRI,ALQAGFRI,FUENPRIN,IMPEXAC,IMPUEXAC,INTERIN,IMPU_INTER,NUMPERI,CODIGO,GASTO,FACTOR,QAGUA,EDAD_SP,numero_HOGAR,vivienda,HOGAR
2006,48,1,02,00,02,00,1.7,1.5,2,3,3,01,01,00,5,5,1,,2,,6,1,,,,1,6,1,3,1,2,4,3,2,05,1,075,1,2,1,2,1,6,,2,1897,1,04,6,01,04411,19821.35,378.848486,52.31999264,2,0,0,0
2006,01,1,03,01,02,01,2.4,2,5,4,4,02,02,00,2,2,6,,2,,7,1,,,,1,1,2,2,2,2,4,3,2,06,6,120,1,4,1,4,1,6,,2,2367,1,05,6,02,04411,19977.3,285.389948,70.00001275,2,0,0,0
2006,01,1,04,00,04,00,3.1,2.5,3,6,6,02,02,00,7,7,1,,2,,6,4,,,,1,6,1,8,5,1,4,3,2,06,6,120,1,4,1,4,1,6,,3,4432,1,07,6,04,04411,40822.15,672.0801,60.74000703,3,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,7,4,,,,1,6,1,8,5,1,1,3,1,05,6,076,1,3,1,1,6,,,3,743,1,02,6,01,04411,63116.06,401.399537,157.239992,3,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,02,01,00,5,3,1,,2,,8,4,,,,1,1,1,8,5,1,4,3,2,06,6,120,1,4,1,4,1,6,,3,2166,1,05,6,02,04411,28418.39,405.977056,69.99999034,3,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,01,01,00,6,6,1,,2,,2,4,,,,1,6,1,8,5,1,4,3,2,05,6,085,1,2,1,2,1,6,,-9,1562,1,04,6,03,04411,77918.84,370.883168,210.0899872,3,0,0,0
2006,48,1,03,01,02,01,2.2,1.8,5,4,4,02,01,00,5,2,1,,2,,6,1,,,,2,-9,-9,5,3,1,4,3,2,07,1,085,1,2,1,2,1,6,,1,1147,1,03,6,01,04411,14152.98,270.715,52.27999926,2,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,6,4,,,,1,6,1,8,5,1,4,3,2,05,6,124,1,4,1,4,1,6,,3,1964,1,04,6,01,04411,28450.13,444.533241,64.00000579,3,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,01,01,00,6,6,1,,2,,2,4,,,,1,6,1,8,5,1,4,3,2,05,6,089,1,2,1,2,1,6,,3,2093,1,05,6,02,04411,25962.22,432.415437,60.03999344,3,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,02,02,00,2,2,1,,2,,6,1,,,,1,6,1,3,1,2,3,3,2,04,6,068,1,3,6,,1,6,,2,1838,1,04,6,02,04411,34471.81,277.998445,124.0000101,1,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,6,6,01,01,00,-9,-9,6,,3,,2,4,,,,1,6,1,8,5,1,3,3,2,03,6,072,1,2,1,2,1,6,,-9,832,1,02,6,02,04411,15632.95,390.82371,40.00000409,3,0,0,0
2006,48,1,03,00,03,00,2.4,2,3,6,6,03,02,00,2,1,1,,2,,6,1,,,,1,6,1,3,1,1,3,3,2,07,1,095,1,3,1,3,1,6,,2,3123,1,07,6,02,04411,40681.6,360.14168,112.9599884,2,0,0,0
2006,01,1,03,00,03,01,2.4,2,5,4,4,02,01,01,5,2,1,,2,,3,1,,,,1,6,1,3,1,1,4,3,2,06,6,095,1,4,1,4,1,6,,2,1909,1,04,6,02,04411,19833.98,444.907529,44.5800053,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,02,02,00,2,2,1,,2,,7,1,,,,1,6,1,3,1,5,3,3,2,04,6,068,1,1,1,1,1,6,6,2,1710,1,04,6,02,04411,36973.06,286.790733,128.9199955,2,0,0,0
2006,48,1,02,00,02,00,1.7,1.5,2,6,6,02,01,00,-9,-9,1,,1,,6,1,,,,1,6,1,3,1,3,4,3,2,05,6,090,1,1,6,,6,,6,2,1150,1,03,6,01,04411,43822.68,325.287131,134.719993,1,0,0,0
2006,01,1,04,02,02,02,2.9,2.3,5,5,5,01,01,00,-9,-9,6,,5,,7,1,,,,1,6,1,4,2,3,4,3,2,05,6,080,1,3,6,,1,6,6,2,794,1,02,6,02,04411,22354.32,199.592144,111.9999994,2,0,0,0
2006,20,1,01,00,01,00,1,1,1,1,1,00,00,00,8,8,6,,1,,3,4,,,,1,6,1,8,5,1,3,3,2,04,6,070,1,3,6,,1,6,,3,785,1,02,6,01,04411,32119.88,422.630025,75.9999955,3,0,0,0
2006,20,1,04,00,04,01,3.1,2.5,6,5,5,03,03,01,1,1,1,,2,,6,1,,,,1,6,1,3,1,1,4,3,2,05,6,075,1,2,6,,1,6,,2,2741,1,06,6,02,04411,34793.2,383.39612,90.7500055,3,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,2,4,,,,1,6,1,8,5,1,4,3,2,05,6,075,1,2,1,2,1,6,,3,858,1,02,6,01,04411,36810.82,368.108216,99.99999565,3,0,0,0
2006,01,1,04,02,02,02,2.9,2.3,5,4,4,01,01,00,5,5,1,,2,,7,1,,,,1,1,1,2,2,1,4,3,2,06,1,120,1,2,1,2,1,6,,2,2323,1,05,6,01,04411,20144.3,240.845317,83.63999039,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,02,02,00,2,2,6,,1,,8,1,,,,1,1,2,2,2,2,3,3,2,05,6,062,1,2,1,2,1,6,,2,2953,1,06,6,02,04411,28424.98,489.326545,58.09000205,2,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,6,6,01,01,00,-9,-9,6,,1,,7,1,,,,1,1,1,2,2,1,4,3,2,05,1,090,1,2,1,2,1,6,,2,2408,1,05,6,02,04411,47885.73,419.608557,114.1200035,2,0,0,0
2006,01,1,03,01,02,01,2.2,1.8,5,4,4,02,02,00,2,2,1,,2,,7,1,,,,1,1,1,2,2,1,4,3,2,05,1,095,1,2,1,2,1,6,,2,2895,1,06,6,02,04411,19047.29,284.712847,66.90000188,2,0,0,0
2006,01,1,04,00,04,00,3.1,2.5,3,6,6,04,04,00,1,1,1,,2,,3,1,,,,2,-9,-9,5,3,1,4,3,1,05,1,092,1,2,1,2,1,6,,1,4610,1,07,6,04,04411,44556.28,443.964541,100.359997,2,0,0,0
2006,01,1,04,02,02,02,2.9,2.3,5,4,4,02,02,00,2,2,1,,2,,3,1,,,,1,1,1,1,1,1,4,2,1,05,1,120,1,2,1,2,1,6,,2,2625,1,06,6,02,04411,30051.3,216.445525,138.8400153,2,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,6,6,01,01,00,-9,-9,6,,3,,2,6,,,,3,-9,-9,10,6,1,4,3,2,05,6,125,1,4,1,4,1,6,,3,1900,6,04,6,02,04411,83000.01,560.73509,148.0200035,3,0,0,0
2006,01,1,03,01,02,01,2.2,1.8,5,4,4,02,02,00,2,2,6,,2,,4,1,,,,1,6,1,4,2,1,4,2,1,05,1,120,1,2,1,2,1,6,,2,1863,1,04,1,02,04411,29860.35,297.53235,100.3600113,2,0,0,0
2006,20,1,01,00,01,00,1,1,1,1,1,01,01,00,-9,-9,1,,1,,5,1,,,,1,6,1,3,1,1,3,3,2,04,6,065,1,1,1,1,1,6,,2,1853,1,04,6,01,04411,32259.29,659.429534,48.91999575,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,2,4,,,,2,-9,-9,8,5,1,4,3,2,04,6,075,1,3,6,,1,6,,3,1014,1,03,6,01,04411,21902.44,429.459586,51.00000259,3,0,0,0
2006,01,1,04,01,03,02,2.9,2.3,5,4,4,02,02,01,2,2,1,,2,,8,1,,,,1,1,1,2,2,1,4,2,1,06,1,125,1,2,1,2,1,6,,2,4421,1,07,6,02,04411,34561.02,349.454198,98.89999948,2,0,0,0
2006,01,1,03,02,01,02,2,1.6,4,2,2,01,01,00,-9,-9,6,,3,,6,1,,,,1,6,1,4,2,3,4,3,2,03,6,075,1,2,1,2,6,,6,2,2420,6,05,6,01,04411,7542.16,185.402123,40.68000883,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,3,3,01,01,00,5,5,1,,2,,2,4,,,,1,6,1,8,5,1,3,3,2,05,6,070,1,2,1,2,1,6,,3,2328,1,05,6,02,04411,19951.92,358.589591,55.63998649,3,0,0,0
2006,01,1,04,00,04,02,3.1,2.5,5,4,4,02,02,02,2,2,1,,2,,8,2,,,,1,1,1,2,2,1,4,2,1,05,1,120,1,2,1,2,1,6,,2,5173,1,08,6,02,04411,43701.03,419.154285,104.2600101,2,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,02,01,00,5,3,1,,2,,7,1,,,,1,6,1,4,2,1,4,3,2,05,1,090,1,2,1,2,1,6,,2,1765,1,04,6,01,04411,23409.31,325.491029,71.91998524,3,0,0,0
2006,20,1,01,00,01,00,1,1,1,1,1,00,00,00,8,8,6,,3,,2,4,,,,1,6,1,8,5,1,3,3,2,05,6,068,1,3,6,,1,6,,3,698,1,02,6,01,04411,25152.83,602.896256,41.71999701,3,0,0,0
2006,01,1,01,00,01,00,1,1,1,1,1,00,00,00,8,8,6,,3,,7,4,,,,1,1,1,8,5,1,4,3,2,06,1,080,1,2,1,2,1,6,,3,1190,1,03,6,01,04411,40943.5,745.37598,54.92999654,3,0,0,0
