"ORDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","SALBRUTO","GEXTRA","VESP","ANOS2","FACTOTAL","DIASMES","DIASRELABA","DIASANO","SALMES","SALMOR","SALNETO","SALANUAL","SALAOR","JMP1","SALHORA","MUJER","MUJERPRIV","ANTIGUEDAD","PROV"
48053623,7,"NORESTE","O0","1","PUBLICO","MREGIONAL","2","HOMBRE","ESPANOL","H0",1,"SECUNDARIA1",9,1,"PARCIAL","TEMPORAL",0,0,22,0,6,1592,37,40,0,31,6,0,6,0,1745.46,0,0,252.45,0,198.79,99.09,2108.35,12,0,6,0,1,15,6,0,6,0,27589.29,3769.21942857143,0,3,332,16,365,350,1997.91,1997.91,1700.03,28771.6881428571,25002.4687142857,163.85,12.1935306682942,0,0,9.08333333333333,"BIZKAIA"
48005640,12,"NORESTE","I0","3","PRIVADO","MREGIONAL","2","MUJER","ESPANOL","H0",0,"PRIMARIA",3,0,"PARCIAL","INDEFINIDO",8,26,0,30,0,298,8,45,0,31,6,0,6,0,381.36,0,0,0,0,7.63,35.88,381.36,8,26,6,0,6,0,6,0,6,0,3816.04,775.150727650728,0,3,37.96,31,269.36,269.36,381.36,381.36,337.85,5170.97787347787,4395.82714582715,38.0625,10.0193103448276,1,1,3,"BIZKAIA"
48015696,5,"NORESTE","J0","2","PRIVADO","MNACIONAL","1","HOMBRE","ESPANOL","D0",0,"SECUNDARIA2",7,3,"COMPLETA","INDEFINIDO",0,0,22,0,0,1800,42,30,0,31,6,0,6,0,2500,0,0,0,0,432.96,193.89,3053.4,12,0,6,0,6,0,6,0,6,0,35238.19,5238.19,1034.72,5,44.82,31,365,365,2500,2500,1873.15,36272.91,30000,184.875,13.5226504394861,0,0,7.25,"BIZKAIA"
1022433,3,"NORESTE","H1","2","PUBLICO","MREGIONAL","3","MUJER","ESPANOL","N0",0,"PRIMARIA",5,10,"PARCIAL","INDEFINIDO",0,0,25,0,9,1592,37,0,0,31,1,2,6,0,2029.49,0,0,0,0,304.42,141.91,2234.83,12,0,1,15,6,0,6,0,6,0,27636,3282.15,0,4,34.12,31,365,365,2029.49,2029.49,1583.16,27636,24353.85,160.95,12.6094439266853,1,1,5.83333333333333,"ARABA"
20006449,7,"NORESTE","Q0","1","PRIVADO","MREGIONAL","3","MUJER","ESPANOL","C0",1,"POSGRADO",16,9,"COMPLETA","INDEFINIDO",0,0,0,30,0,1750,36,39,0,31,1,2,6,0,2179.14,0,0,0,0,433.25,187.97,2960.08,11,16,1,2,1,14,6,0,6,0,29190.83,5502.23783494742,0,4,68.76,17,350.62,336.62,2179.14,2179.14,1557.92,31651.8713980156,26149.6335630682,159.4275,13.6685327186339,1,1,16.75,"GIPUZKOA"
48001547,12,"NORESTE","N0","2","PRIVADO","MNACIONAL","1","MUJER","ESPANOL","F0",0,"GRADO",4,9,"COMPLETA","INDEFINIDO",0,0,0,30,0,1752,40,0,0,31,6,0,6,0,1145.72,0,0,338.68,0,163.28,120.48,1897.33,12,0,1,13,6,0,6,0,6,0,22466.25,4995.31,31.14,4,11.04,31,365,365,1484.4,1484.4,1200.64,22497.39,17470.94,174,8.53103448275862,1,1,4.75,"BIZKAIA"
20002918,7,"NORESTE","C7","3","PRIVADO","MREGIONAL","3","MUJER","ESPANOL","D0",1,"SECUNDARIA2",14,9,"PARCIAL","INDEFINIDO",0,0,0,30,0,1693,40,0,0,31,6,0,6,0,2085.25,0,0,118.76,0,330.6,163.62,2576.49,12,0,6,0,6,0,6,0,6,0,31488.29,4408.08,0,4,36.59,31,365,365,2204.01,2204.01,1709.79,31488.29,27080.21,174,12.666724137931,1,1,14.75,"GIPUZKOA"
48064335,4,"NORESTE","N0","1","PRIVADO","MNACIONAL","3","MUJER","ESPANOL","E0",0,"GRADO",39,2,"PARCIAL","INDEFINIDO",0,0,26,0,4,1665,37,30,0,31,6,0,6,0,1169.55,0,0,899.92,0,310.42,181.57,2859.39,12,0,6,0,6,0,6,0,6,0,34144.2,8652.74,88.23,5,27.91,31,365,365,2069.47,2069.47,1577.48,34232.43,25491.46,163.125,12.6864061302682,1,1,39.1666666666667,"BIZKAIA"
1000297,19,"NORESTE","C4","3","PRIVADO","MNACIONAL","3","HOMBRE","ESPANOL","M0",0,"SECUNDARIA2",2,0,"COMPLETA","TEMPORAL",0,0,30,0,0,1752,40,0,0,31,6,0,6,0,1687.15,0,0,360,360,286.03,150.94,2376.92,10,5,6,0,6,0,6,0,6,0,20826.92,0,0,3,15.95,31,309.2,309.2,2047.15,2047.15,1610.18,24585.4650711513,24585.4650711513,174,11.7652298850575,0,0,2,"ARABA"
48017402,19,"NORESTE","K0","3","PRIVADO","MNACIONAL","3","HOMBRE","ESPANOL","D0",0,"FP",24,0,"PARCIAL","INDEFINIDO",0,0,30,0,0,1642,37,30,0,31,6,0,6,0,1939,0,0,1301.84,0,615.76,218.7,3444.01,12,0,6,0,6,0,6,0,6,0,39781.34,536.46,1048.36,5,12.36,31,365,365,3240.84,3240.84,2406.38,40829.7,39244.88,163.125,19.8672183908046,0,0,24,"BIZKAIA"
