ATRIPS,ACANT,MONTE,ARMER,EDAD,SEXO,ESTUD,KOSTU 
1,0,1,1,68,1,3,98.3200000 
1,0,1,1,39,0,5,13.3600000 
1,0,1,1,48,1,1,28.6400000 
1,0,1,1,25,0,2,28.6400000 
1,0,1,1,28,1,5,13.3600000 
1,1,0,0,62,0,1,75.8800000 
1,1,1,0,28,0,5,41.7600000 
1,1,0,0,40,0,3,13.3600000 
1,0,0,1,25,1,2,83.2000000 
1,0,0,0,39,0,3,109.8000000 
1,1,0,0,75,0,3,72.4000000 
1,0,1,0,58,0,2,72.4000000 
1,1,1,0,72,1,2,72.4000000 
1,0,1,1,44,0,3,98.8800000 
1,1,1,0,28,0,5,72.4000000 
1,1,0,0,30,1,5,72.4000000 
1,1,1,0,40,0,3,106.5600000 
2,1,1,0,39,0,5,101.6400000 
2,1,0,1,40,1,1,108.8000000 
2,1,1,1,42,1,4,101.6400000 
2,1,1,1,42,0,2,85.9200000 
2,1,1,1,31,1,3,85.9200000 
2,0,0,1,60,0,2,68.3600000 
2,1,1,1,28,1,4,119.5200000 
2,0,1,0,32,0,1,101.6400000 
2,1,1,0,31,1,4,102.6800000 
2,1,1,1,51,0,3,106.9600000 
2,0,1,1,72,1,5,114.6000000 
2,1,1,1,49,0,2,13.3600000 
2,1,1,0,54,1,3,40.1200000 
2,1,1,0,52,1,2,26.1600000 
2,1,1,0,41,1,2,13.3600000 
2,1,0,1,63,0,1,60.9200000 
2,1,0,1,30,0,2,28.5200000 
2,0,1,1,52,1,3,28.5200000 
2,1,1,0,39,0,3,26.1600000 
2,0,1,0,60,1,1,83.2000000 
2,1,1,1,55,0,2,109.8000000 
2,0,1,0,50,1,2,109.8000000 
2,1,1,0,86,1,3,72.4000000 
2,0,0,0,33,1,1,13.3600000 
2,0,1,0,30,1,2,72.4000000 
2,1,1,0,59,1,2,72.4000000 
3,1,1,1,44,0,3,101.6400000 
3,1,0,0,39,1,3,101.6400000 
3,1,1,1,47,0,4,111.4000000 
3,0,0,0,75,1,1,16.7200000 
3,1,0,0,49,0,3,16.7200000 
3,1,1,0,58,1,2,26.1600000 
3,1,1,1,73,1,1,26.1600000 
3,1,1,0,33,0,3,20.4000000 
3,1,0,0,43,1,2,13.3600000 
3,1,1,0,28,1,3,13.3600000 
3,0,1,0,68,1,2,83.2000000 
3,1,1,1,32,1,3,109.8000000 
3,1,1,0,37,1,4,72.4000000 
3,1,1,0,51,0,4,72.4000000 
3,1,1,1,31,0,5,72.4000000 
4,0,0,0,34,1,2,26.1600000 
4,1,1,1,57,0,3,20.4000000 
4,1,1,0,33,1,1,72.4000000 
5,1,1,1,42,0,3,40.1200000 
5,1,1,1,57,0,1,28.6400000 
5,1,1,0,38,0,2,13.3600000 
5,1,1,0,21,0,4,13.3600000 
7,1,1,1,45,0,2,26.1600000 
7,1,1,0,39,1,3,72.4000000 
8,0,0,0,29,1,2,13.3600000 
10,1,1,1,59,0,2,13.3600000 
10,1,0,1,39,0,2,4.6400000 
10,0,1,0,41,1,3,4.6400000 
10,1,1,0,63,0,2,3.6400000 
10,1,1,1,23,0,2,3.6400000 
15,0,0,0,82,1,1,26.1600000 
15,1,0,0,48,0,3,20.4000000 
15,1,1,1,76,1,5,26.1600000 
