"ORDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","SALBRUTO","GEXTRA","VESP","ANOS2","FACTOTAL","DIASMES","DIASRELABA","DIASANO","SALMES","SALMOR","SALNETO","SALANUAL","SALAOR","JMP1","SALHORA","MUJER","MUJERPRIV","ANTIGUEDAD","PROV"
21007118,2,"SUR","C4","2","PRIVADO","MNACIONAL","1","HOMBRE","ESPANOL","K0",0,"PRIMARIA",1,0,"COMPLETA","INDEFINIDO",0,0,22,0,0,1752,40,0,0,31,6,0,6,0,1121.86,0,0,194.55,0,131.51,83.59,1316.41,12,0,6,0,6,0,6,0,6,0,14963.58,0,0,4,37.68,31,365,365,1316.41,1316.41,1101.31,14963.58,14963.58,174,7.56557471264368,0,0,1,"HUELVA"
28310274,17,"MADRID","O0","3","PUBLICO","MREGIONAL","5","MUJER","ESPANOL","E0",0,"SECUNDARIA1",3,3,"PARCIAL","INDEFINIDO",0,0,22,0,5,1657,37,30,0,31,6,0,6,0,599.25,0,0,729.66,0,28.59,101.39,1596.53,6,0,6,0,6,0,6,0,6,0,8707.47,2361.86116589963,0,6,75.46,31,182.52,182.52,1328.91,1328.91,1198.93,17413.0317225509,15051.1705566513,163.125,8.14657471264368,1,1,3.25,"MADRID"
11019216,14,"SUR","E0","3","PRIVADO","MREGIONAL","2","MUJER","ESPANOL","O0",0,"PRIMARIA",11,10,"PARCIAL","INDEFINIDO",9,19,16,0,0,768,20,0,0,31,6,0,6,0,578.77,0,0,72.86,0,0,41.38,651.63,9,19,6,0,6,0,6,0,6,0,6055.01,1374.97711592322,0,3,25.72,31,292.78,292.78,651.63,651.63,610.25,7548.5984356855,6173.62131976228,87,7.49,1,1,11.8333333333333,"CADIZ"
50003447,3,"NORESTE","J0","2","PRIVADO","MREGIONAL","3","MUJER","ESPANOL","G0",0,"FP",5,6,"PARCIAL","INDEFINIDO",0,0,30,0,0,666,15,0,0,31,6,0,6,0,433.27,0,0,103.72,0,0,31.67,598.66,12,0,6,0,6,0,6,0,6,0,6526.31,0,0,3,5.4,31,365,365,536.99,536.99,505.32,6526.31,6526.31,65.25,8.22973180076628,1,1,5.5,"ZARAGOZA"
28133651,7,"MADRID","F0","1","PRIVADO","MREGIONAL","2","HOMBRE","ESPANOL","P0",0,"PRIMARIA",13,1,"COMPLETA","INDEFINIDO",0,0,22,0,9,1738,40,0,0,31,1,31,6,0,1765.68,0,0,0,0,247.19,129.06,2032.37,12,0,1,365,6,0,6,0,6,0,25102.99,3914.89,0,3,97.06,31,365,365,1765.68,1765.68,1389.43,25102.99,21188.1,174,10.1475862068966,0,0,13.0833333333333,"MADRID"
9000389,2,"CENTRO","C6","3","PRIVADO","MMUNDIAL","3","HOMBRE","ESPANOL","D0",1,"GRADO",22,2,"COMPLETA","INDEFINIDO",0,0,32,0,0,1720,40,0,0,31,6,0,6,0,2682.95,0,0,1226.79,0,1018.13,228.41,3597,12,0,6,0,6,0,6,0,6,0,55936.36,9019.48,1501.77,5,20.76,31,365,365,3909.74,3909.74,2663.2,57438.13,46916.88,174,22.4697701149425,0,0,22.1666666666667,"BURGOS"
3000927,3,"ESTE","K0","2","PRIVADO","MREGIONAL","1","HOMBRE","ESPANOL","A0",1,"POSGRADO",18,11,"COMPLETA","INDEFINIDO",0,0,22,0,0,1700,38,0,0,31,6,0,6,0,1714.85,0,0,698.13,0,458.47,202.48,3188.68,12,0,6,0,6,0,6,0,6,0,37433.42,7846.52,272.31,4,85.4,31,365,365,2412.98,2412.98,1752.03,37705.73,29586.9,165.3,14.5975801572898,0,0,18.9166666666667,"ALICANTE"
48003282,20,"NORESTE","G2","3","PRIVADO","MREGIONAL","3","MUJER","ESPANOL","P0",0,"SECUNDARIA1",12,8,"COMPLETA","INDEFINIDO",0,0,0,31,0,1731,38,18,0,31,6,0,6,0,1379.98,0,0,230.93,0,151.8,108.15,1703.15,12,0,1,47,6,0,6,0,6,0,20121.75,3845.53,126,5,26.76,31,365,365,1610.91,1610.91,1350.96,20247.75,16276.22,166.605,9.66903754389124,1,1,12.6666666666667,"BIZKAIA"
1029257,3,"NORESTE","F0","1","PRIVADO","MREGIONAL","2","HOMBRE","EXTRANJERO","P0",0,"PRIMARIA",0,5,"COMPLETA","TEMPORAL",0,0,10,0,0,1726,40,0,0,31,6,0,6,0,1602.84,0,0,0,0,32.06,121.25,1894.54,5,0,6,0,6,0,6,0,6,0,9516.09,3264.09829059829,0,3,15.54,31,152.1,152.1,1602.84,1602.84,1449.53,22836.1134122288,19572.0151216305,174,9.21172413793103,0,0,0.416666666666667,"ARABA"
28295376,17,"MADRID","N0","3","PRIVADO","MNACIONAL","2","MUJER","ESPANOL","E0",0,"SECUNDARIA2",0,5,"COMPLETA","TEMPORAL",0,0,0,30,0,1765,40,0,0,31,6,0,6,0,1104.74,0,0,0,0,22.09,70.7,1104.74,7,25,6,0,6,0,6,0,6,0,8074.13,0,0,4,29.2,31,237.94,237.94,1104.74,1104.74,1011.95,12385.7167773388,12385.7167773388,174,6.34908045977012,1,1,0.416666666666667,"MADRID"
7120388,20,"ESTE","I0","3","PRIVADO","MMUNDIAL","2","MUJER","ESPANOL","D0",0,"POSGRADO",1,6,"COMPLETA","INDEFINIDO",0,0,25,0,0,1776,40,0,0,31,6,0,6,0,1186.57,0,0,468.47,0,260.86,121.03,1905.93,12,0,6,0,6,0,6,0,6,0,20788.48,3010.74,12.12,3,22.2,31,365,365,1655.04,1655.04,1273.15,20800.6,17777.74,174,9.51172413793103,1,1,1.5,"BALEARES"
