"salhora","trabaja","genero","edad","buscat","tiene_hijos","nac","parado","RGIrecep","sitlab","prov"
0,0,"Mujer",17,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",61,0,0,"espanola",1,0,"inactivo","Araba"
0,0,"Hombre",58,0,0,"espanola",0,0,"inactivo","Araba"
14.39394,1,"Hombre",40,0,1,"espanola",0,0,"indefinido","Araba"
17.234848,1,"Mujer",35,0,1,"espanola",0,0,"otro","Araba"
0,0,"Hombre",54,0,0,"espanola",0,0,"autonomo","Araba"
12.21591,1,"Hombre",58,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",58,0,1,"espanola",0,0,"inactivo","Araba"
5.681818,1,"Hombre",22,0,0,"espanola",0,0,"temporal","Araba"
6.818182,1,"Hombre",37,0,0,"espanola",0,0,"temporal","Araba"
11.363636,1,"Mujer",34,0,0,"espanola",0,0,"autonomo","Araba"
0,0,"Hombre",56,1,0,"espanola",1,1,"inactivo","Araba"
13.257576,1,"Mujer",59,0,1,"espanola",0,0,"indefinido","Araba"
9.280303,1,"Mujer",31,0,0,"espanola",0,0,"indefinido","Araba"
11.079546,1,"Mujer",52,0,1,"espanola",0,0,"indefinido","Araba"
6.818182,1,"Hombre",55,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",21,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",21,0,0,"espanola",0,0,"inactivo","Araba"
2.840909,1,"Mujer",58,0,1,"espanola",0,0,"temporal","Araba"
7.9545455,1,"Hombre",28,0,0,"espanola",0,0,"indefinido","Araba"
9.280303,1,"Hombre",21,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",63,0,0,"espanola",0,0,"inactivo","Araba"
23.674244,1,"Hombre",44,0,1,"espanola",0,0,"autonomo","Araba"
12.357955,1,"Mujer",44,0,1,"espanola",0,0,"indefinido","Araba"
13.636364,1,"Hombre",35,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",37,1,0,"espanola",1,0,"inactivo","Araba"
15.246212,1,"Hombre",36,0,0,"espanola",0,0,"indefinido","Araba"
13.068182,1,"Mujer",37,0,0,"espanola",0,0,"autonomo","Araba"
20.170454,1,"Hombre",39,0,1,"espanola",0,0,"indefinido","Araba"
11.742424,1,"Mujer",39,0,1,"espanola",0,0,"indefinido","Araba"
14.204545,1,"Hombre",53,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",19,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Hombre",60,0,1,"espanola",1,0,"inactivo","Araba"
0,0,"Mujer",58,0,1,"espanola",0,0,"inactivo","Araba"
6.818182,1,"Hombre",33,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",63,0,1,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",37,1,0,"espanola",1,0,"inactivo","Araba"
0,0,"Hombre",62,1,0,"espanola",1,1,"inactivo","Araba"
9.943182,1,"Hombre",51,0,0,"espanola",0,0,"indefinido","Araba"
11.363636,1,"Mujer",42,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",58,0,0,"espanola",0,0,"inactivo","Araba"
10.60606,1,"Mujer",57,0,0,"espanola",0,0,"indefinido","Araba"
26.515152,1,"Mujer",44,0,1,"espanola",0,0,"temporal","Araba"
17.518938,1,"Hombre",43,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Hombre",61,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",58,0,0,"espanola",0,0,"autonomo","Araba"
0,0,"Mujer",31,0,1,"espanola",0,0,"autonomo","Araba"
0,0,"Mujer",36,0,1,"espanola",0,0,"autonomo","Araba"
5.681818,1,"Hombre",62,0,0,"espanola",0,0,"autonomo","Araba"
10.871212,1,"Mujer",62,0,0,"espanola",0,0,"indefinido","Araba"
